station_name,entries_exits_all,tlc
Aberdeen,2377660.0,ABD
Aberdour,116962.0,AUR
Achanalt,550.0,AAT
Achnasheen,3340.0,ACN
Achnashellach,890.0,ACH
Addiewell,18496.0,ADW
Airbles,109620.0,AIR
Airdrie,809690.0,ADR
Alexandra Parade,343914.0,AXP
Alexandria,185556.0,ALX
Alloa,528768.0,ALO
Alness,20482.0,ASS
Altnabreac [note 1],,ABC
Anderston,419400.0,AND
Annan,127412.0,ANN
Anniesland,1013182.0,ANL
Arbroath,362306.0,ARB
Ardgay,5734.0,ARD
Ardlui,4050.0,AUI
Ardrossan Harbour,84144.0,ADS
Ardrossan South Beach,167462.0,ASB
Ardrossan Town,17108.0,ADN
Argyle Street,1279026.0,AGS
Arisaig,5572.0,ARG
Armadale (West Lothian),232232.0,ARM
Arrochar and Tarbet,20438.0,ART
Ashfield,64718.0,ASF
Attadale,1034.0,ATT
Auchinleck,64852.0,AUK
Aviemore,123654.0,AVM
Ayr,795560.0,AYR
Baillieston,162068.0,BIO
Balloch,444334.0,BHC
Balmossie,1708.0,BSI
Banavie,6796.0,BNV
Barassie,154888.0,BSS
Bargeddie,98846.0,BGI
Barnhill,84686.0,BNL
Barrhead,553018.0,BRR
Barrhill,3878.0,BRL
Barry Links,450.0,BYL
Bathgate,938148.0,BHG
Bearsden,399528.0,BRN
Beasdale,230.0,BSL
Beauly,33508.0,BEL
Bellgrove,744374.0,BLG
Bellshill,643576.0,BLH
Bishopbriggs,758698.0,BBG
Bishopton (Renfrewshire),701908.0,BPT
Blackridge,51822.0,BKR
Blair Atholl,16446.0,BLA
Blairhill,377514.0,BAI
Blantyre,413806.0,BLT
Bogston,27266.0,BGS
Bowling,27310.0,BWG
Branchton,122300.0,BCN
Breich,5924.0,BRC
Bridge Of Allan,268412.0,BEA
Bridge Of Orchy,7958.0,BRO
Bridgeton,802898.0,BDG
Brora,5836.0,BRA
Broughty Ferry,148586.0,BYF
Brunstane,156782.0,BSU
Burnside (South Lanarkshire),225114.0,BUI
Burntisland,206194.0,BTS
Busby,110486.0,BUS
Caldercruix,73754.0,CAC
Cambuslang,831150.0,CBL
Camelon,165762.0,CMO
Cameron Bridge,45796.0,CBX
Cardenden,43222.0,CDD
Cardonald,222856.0,CDO
Cardross,156448.0,CDR
Carfin,118882.0,CRF
Carluke,292568.0,CLU
Carmyle,129922.0,CML
Carnoustie,137292.0,CAN
Carntyne,383786.0,CAY
Carrbridge,7020.0,CAG
Carstairs,31886.0,CRS
Cartsdyke,99116.0,CDY
Cathcart,544872.0,CCT
Charing Cross (Glasgow),1562948.0,CHC
Chatelherault,76190.0,CTE
Clarkston,320542.0,CKS
Cleland,107380.0,CEA
Clydebank,304952.0,CYK
Coatbridge Central,45164.0,CBC
Coatbridge Sunnyside,472270.0,CBS
Coatdyke,236050.0,COA
Connel Ferry,18594.0,CON
Conon Bridge,11716.0,CBD
Corkerhill,209532.0,CKH
Corpach,3776.0,CPA
Corrour,20500.0,CRR
Cowdenbeath,121674.0,COW
Craigendoran,163838.0,CGD
Crianlarich,16156.0,CNR
Croftfoot,215558.0,CFF
Crookston,184128.0,CKT
Crosshill,297828.0,COI
Crossmyloof,710384.0,CMY
Croy,1402586.0,CRO
Culrain,318.0,CUA
Cumbernauld,187882.0,CUB
Cupar,196056.0,CUP
Curriehill,124218.0,CUH
Dalgety Bay,229602.0,DAG
Dalmally,13690.0,DAL
Dalmarnock,462014.0,DAK
Dalmeny,488872.0,DAM
Dalmuir,767842.0,DMR
Dalreoch,196628.0,DLR
Dalry,168264.0,DLY
Dalwhinnie,3356.0,DLW
Dingwall,62120.0,DIN
Drem,152528.0,DRM
Drumchapel,331424.0,DMC
Drumfrochar,71638.0,DFR
Drumgelloch,275672.0,DRU
Drumry,233208.0,DMY
Duirinish,904.0,DRN
Duke Street,224988.0,DST
Dumbarton Central,483282.0,DBC
Dumbarton East,339724.0,DBE
Dumbreck,148736.0,DUM
Dumfries,346310.0,DMF
Dunbar,416356.0,DUN
Dunblane,451060.0,DBL
Duncraig,354.0,DCG
Dundee,1763546.0,DEE
Dunfermline City,569702.0,DFE
Dunfermline Queen Margaret,129910.0,DFL
Dunkeld and Birnam,61270.0,DKD
Dunlop,76002.0,DNL
Dunrobin Castle,1544.0,DNO
Dyce,308806.0,DYC
East Kilbride,582794.0,EKL
East Linton,66982.0,ELT
Easterhouse,317196.0,EST
Edinburgh,22755164.0,EDB
Edinburgh Gateway,254676.0,EGY
Edinburgh Park,558812.0,EDP
Elgin,295372.0,ELG
Eskbank,286350.0,EKB
Exhibition Centre (Glasgow),1772544.0,EXG
Fairlie,38032.0,FRL
Falkirk Grahamston,611856.0,FKG
Falkirk High,773200.0,FKK
Falls Of Cruachan,1782.0,FOC
Fauldhouse,46148.0,FLD
Fearn,3780.0,FRN
Forres,131372.0,FOR
Forsinard,1562.0,FRS
Fort Matilda,115730.0,FTM
Fort William,176226.0,FTW
Galashiels,309374.0,GAL
Garelochhead,17740.0,GCH
Garrowhill,369700.0,GAR
Garscadden,217630.0,GRS
Gartcosh,180516.0,GRH
Garve,3964.0,GVE
Georgemas Junction,1992.0,GGJ
Giffnock,235042.0,GFN
Gilshochill,68720.0,GSC
Girvan,61504.0,GIR
Glasgow Central,25293930.0,GLC
Glasgow Queen Street,14950752.0,GLQ
Gleneagles,104594.0,GLE
Glenfinnan,18274.0,GLF
Glengarnock,290886.0,GLG
Glenrothes with Thornton,50756.0,GLT
Golf Street,1292.0,GOF
Golspie,5352.0,GOL
Gorebridge,121090.0,GBG
Gourock,400706.0,GRK
Greenfaulds,115778.0,GRL
Greenock Central,244898.0,GKC
Greenock West,334786.0,GKW
Gretna Green,51464.0,GEA
Hairmyres,436178.0,HMY
Hamilton Central,686520.0,HNC
Hamilton West,683164.0,HNW
Hartwood,15140.0,HTW
Hawkhead,217388.0,HKH
Haymarket,3334408.0,HYM
Helensburgh Central,671306.0,HLC
Helensburgh Upper,12520.0,HLU
Helmsdale,4242.0,HMS
High Street (Glasgow),841292.0,HST
Hillfoot,258436.0,HLF
Hillington East,230266.0,HLE
Hillington West,274120.0,HLW
Holytown,165274.0,HLY
Howwood (Renfrewshire),75126.0,HOZ
Huntly,65636.0,HNT
Hyndland,1389628.0,HYN
Insch,66866.0,INS
Invergordon,23476.0,IGD
Invergowrie,22066.0,ING
Inverkeithing,953162.0,INK
Inverkip,82900.0,INP
Inverness,1172640.0,INV
Inverness Airport,61166.0,IVA
Invershin,362.0,INH
Inverurie,359792.0,INR
Irvine,685016.0,IRV
Johnstone (Renfrewshire),1139862.0,JHN
Jordanhill,264422.0,JOR
Keith,76798.0,KEH
Kelvindale,58426.0,KVD
Kennishead,157902.0,KNS
Kildonan,312.0,KIL
Kilmarnock,467114.0,KMK
Kilmaurs,82350.0,KLM
Kilpatrick,76814.0,KPT
Kilwinning,781106.0,KWN
Kinbrace,406.0,KBC
Kinghorn,97662.0,KGH
Kings Park,191560.0,KGP
Kingsknowe,34444.0,KGE
Kingussie,42058.0,KIN
Kintore,124436.0,KTR
Kirkcaldy,856236.0,KDY
Kirkconnel,18724.0,KRK
Kirkhill,64162.0,KKH
Kirknewton,71168.0,KKN
Kirkwood,135706.0,KWD
Kyle Of Lochalsh,46788.0,KYL
Ladybank,86454.0,LDY
Lairg,3978.0,LRG
Lanark,263532.0,LNK
Langbank,62206.0,LGB
Langside,225812.0,LGS
Larbert,812100.0,LBT
Largs,384942.0,LAR
Larkhall,254940.0,LRH
Laurencekirk,87390.0,LAU
Lenzie,719886.0,LNZ
Leuchars (For St. Andrews),584032.0,LEU
Leven,185424.0,LEV
Linlithgow,1058874.0,LIN
Livingston North,1033616.0,LSN
Livingston South,370340.0,LVG
Loch Awe,6166.0,LHA
Loch Eil Outward Bound,5294.0,LHE
Lochailort,2438.0,LCL
Locheilside,462.0,LCS
Lochgelly,57418.0,LCG
Lochluichart,424.0,LCC
Lochwinnoch,134594.0,LHW
Lockerbie,210848.0,LOC
Longniddry,205200.0,LND
Mallaig,90476.0,MLG
Markinch,235210.0,MNC
Maryhill,85594.0,MYH
Maxwell Park,116450.0,MAX
Maybole,35058.0,MAY
Merryton,74472.0,MEY
Milliken Park,196074.0,MIN
Milngavie,762998.0,MLN
Monifieth,43194.0,MON
Montrose,317406.0,MTS
Morar,4290.0,MRR
Mosspark,129970.0,MPK
Motherwell,1049030.0,MTH
Mount Florida,1184706.0,MFL
Mount Vernon,63544.0,MTV
Muir Of Ord,46002.0,MOO
Muirend,336620.0,MUI
Musselburgh,461092.0,MUB
Nairn,137890.0,NRN
Neilston,375994.0,NEI
New Cumnock,23022.0,NCK
Newcraighall,233352.0,NEW
Newton (Lanark),609912.0,NTN
Newtongrange,149962.0,NEG
Newtonmore,8454.0,NWR
Newton-On-Ayr,80008.0,NOA
Nitshill,131358.0,NIT
North Berwick,566242.0,NBW
North Queensferry,121520.0,NQU
Oban,201750.0,OBN
Paisley Canal,299938.0,PCN
Paisley Gilmour Street,3241120.0,PYG
Paisley St James,96238.0,PYJ
Partick,3091680.0,PTK
Patterton,488400.0,PTT
Perth,853236.0,PTH
Pitlochry,131400.0,PIT
Plockton,10396.0,PLK
Pollokshaws East,362074.0,PWE
Pollokshaws West,304684.0,PWW
Pollokshields East,337600.0,PLE
Pollokshields West,146994.0,PLW
Polmont,696294.0,PMT
Port Glasgow,390992.0,PTG
Portlethen,68214.0,PLN
Possilpark and Parkhouse,87906.0,PPK
Prestonpans,257514.0,PST
Prestwick International Airport,85954.0,PRA
Prestwick Town,340592.0,PTW
Priesthill and Darnley,167280.0,PTL
Queens Park (Glasgow),728778.0,QPK
Rannoch,7802.0,RAN
Renton,67362.0,RTN
Reston,29896.0,RSN
Robroyston,243276.0,RRN
Rogart,1084.0,ROG
Rosyth,198140.0,ROS
Roy Bridge,3332.0,RYB
Rutherglen,871338.0,RUT
Saltcoats,275344.0,SLT
Sanquhar,26594.0,SQH
Scotscalder,226.0,SCT
Scotstounhill,430906.0,SCH
Shawfair,72472.0,SFI
Shawlands,132560.0,SHL
Shettleston,651582.0,SLS
Shieldmuir,121668.0,SDM
Shotts,173044.0,SHS
Singer,358320.0,SIN
Slateford,71928.0,SLA
South Gyle,220542.0,SGL
Spean Bridge,7516.0,SBR
Springburn,386114.0,SPR
Springfield,1438.0,SPF
Stepps,267652.0,SPS
Stevenston,99624.0,STV
Stewarton,248494.0,STT
Stirling,2527778.0,STG
Stonehaven,480362.0,STN
Stow,74988.0,SOI
Stranraer,30196.0,STR
Strathcarron,6620.0,STC
Stromeferry,1132.0,STF
Summerston,113996.0,SUM
Tain,23284.0,TAI
Taynuilt,38888.0,TAY
Thornliebank,196424.0,THB
Thorntonhall,18166.0,THT
Thurso,36980.0,THS
Troon,498042.0,TRN
Tulloch,2252.0,TUL
Tweedbank,405824.0,TWB
Tyndrum Lower,5986.0,TYL
Uddingston,702066.0,UDD
Uphall,488056.0,UHA
Upper Tyndrum,5760.0,UTY
Wallyford,349262.0,WAF
Wemyss Bay,211252.0,WMS
West Calder,140058.0,WCL
West Kilbride,126748.0,WKB
Wester Hailes,62844.0,WTA
Westerton,674870.0,WES
Whifflet,244552.0,WFF
Whinhill,43124.0,WNL
Whitecraigs,321218.0,WCR
Wick,16046.0,WCK
Williamwood,286358.0,WLM
Wishaw,405264.0,WSH
Woodhall,48326.0,WDL
Yoker,202332.0,YOK
